id,energy
1,-83.49055516199951
2,-90.17396994300543
3,-84.34541926500424
4,-62.28650487900359
5,-90.35142594300487
6,-91.78826704600488
7,-89.87587594300476
8,-68.67741866000324
9,-70.13304180600062
10,-83.9974112650043
11,-72.87897416199485
12,-96.96192672400593
13,-70.6101456300039
14,-66.9258294839965
15,-97.17279072400561
16,-84.0064822650047
17,-83.55853716199817
18,-85.54279636800402
19,-68.98249066000335
20,-91.26308504600456
21,-54.24280302500301
22,-77.72953958700327
23,-70.0256896300034
24,-67.20596048400421
25,-91.28834304600514
26,-84.00777726500473
27,-77.9410845140037
28,-90.19553894300498
29,-54.23819720100164
30,-90.9859900460051
31,-84.3787252650045
32,-61.27667087900318
33,-69.40391263000402
34,-77.08589958700395
35,-74.71365633800451
36,-78.79461148399969
37,-97.10304972400536
38,-60.517146703003164
39,-56.6566682010025
40,-74.80592833800438
41,-72.76077280600111
42,-97.1241097240054
43,-68.97756563000348
44,-69.6584066600035
45,-83.37161016199934
46,-46.660210274002566
47,-83.80489026500436
48,-76.43372441100382
49,-90.9672250460053
50,-62.70214795200263
51,-79.02962258700336
52,-83.47234516199933
53,-90.24570394300463
54,-84.26646936800444
55,-97.07123572400542
56,-90.9516000460053
57,-90.83898004600451
58,-76.27899441100453
59,-70.90572790900296
60,-90.36196104600458
61,-76.79575648399987
62,-85.78296736800439
63,-57.30945820100169
64,-90.91033004600467
65,-61.88693298200269
66,-75.79689030800455
67,-90.26011794300484
68,-69.92544273300336
69,-90.36149394300537
70,-81.33853801600526
71,-64.2099541580028
72,-83.53786016199956
73,-70.29207783600305
74,-83.3710121619988
75,-68.23174055700383
76,-90.06534094300514
77,-72.68767990900324
78,-90.39526994300468
79,-91.0014980460046
80,-60.824970806002966
81,-66.65008648399635
82,-78.55213069000365
83,-84.37439626500418
84,-90.67099504600537
85,-77.06302858700383
86,-34.301794917999814
87,-74.66077733800375
88,-83.39002716199866
89,-84.15483336800389
90,-77.12270448399977
91,-83.86568226500458
92,-77.01700858700315
93,-90.06962894300523
94,-68.29324455700316
95,-84.74164226500397
96,-72.33186280600057
97,-52.837402952003686
98,-90.0900899430053
99,-97.26485872400553
100,-85.22909736800375
101,-85.10188426500463
102,-72.86232790900249
103,-91.73326704600458
104,-97.10697472400534
105,-91.17339204600466
106,-90.89046704600514
107,-75.992149411004
108,-60.98186880599678
109,-69.72954773300353
110,-90.10787994300517
111,-68.51883866000298
112,-76.40388441100458
113,-82.90359019200514
114,-90.53103394300524
115,-80.93448601600448
116,-97.08812672400563
117,-97.10699272400598
118,-86.05846536800436
119,-83.87625626500449
120,-90.96763804600505
121,-69.77030673300305
122,-74.91467033800382
123,-97.2153197240059
124,-56.35427020100178
125,-72.02535580600124
126,-90.9093620460053
127,-78.06251869000334
128,-83.71267926500423
129,-76.86160748399925
130,-54.28361802500331
131,-63.12990787900253
132,-84.04718226500427
133,-68.77408655700401
134,-56.786293274001764
135,-77.07862758700321
136,-83.96741526500409
137,-66.01693423100187
138,-103.28791840200665
139,-77.90060348400038
140,-90.3582949430047
141,-90.21714094300478
142,-73.0021759090032
143,-76.5812584840005
144,-82.48634908900476
145,-83.4690552650045
146,-68.73130666000361
147,-67.97684955700333
148,-69.58387963000405
149,-50.88838352300172
150,-97.07309172400528
151,-90.44551594300538
152,-73.13971116199536
153,-90.3678229430052
154,-75.0665113380046
155,-97.00649472400528
156,-97.00528172400573
157,-83.67203026500465
158,-68.06035455700385
159,-90.92216604600526
160,-72.44940780600155
161,-76.60805848400014
162,-84.07223036800406
163,-74.80351933800375
164,-83.16438716199809
165,-77.31626958700326
166,-66.85990848399706
167,-76.7462654840001
168,-91.7280990460049
169,-77.87225669000327
170,-71.18957201200283
171,-72.36212590900323
172,-89.75262894300522
173,-73.98767990900251
174,-78.93504758700328
175,-48.51266045000011
176,-83.98535426500439
177,-79.02551458700327
178,-90.00951594300477
179,-69.82720055700338
180,-72.19394590900265
181,-97.09507372400549
182,-84.28061126500415
183,-69.88741373300309
184,-69.70642566000333
185,-84.48142236800413
186,-90.09107594300531
187,-74.98555333800414
188,-63.45261998200294
189,-75.03584333800427
190,-74.45829123500425
191,-90.46425094300503
192,-68.55276755700379
193,-74.01295923500402
194,-82.39670308900531
195,-78.67410348399972
196,-85.66562336800416
197,-49.62223062600151
198,-71.1959540120024
199,-83.01422719200491
200,-84.42549336800403
201,-82.03707308900539
202,-77.77141351400405
203,-90.7645660460048
204,-83.61802126500424
205,-75.82981741100411
206,-97.04042372400545
207,-47.533063274002416
208,-74.20103023500451
209,-58.70480827400206
210,-73.86289023500467
211,-56.41462830400178
212,-83.3929281619985
213,-63.795793952002896
214,-75.54874830800418
215,-64.04351115800273
216,-60.94311187900257
217,-83.59200816199882
218,-76.24784141100463
219,-83.4140211619997
220,-82.32154508900476
221,-83.82042226500471
222,-83.92747526500443
223,-97.04248572400593
224,-70.1010738360037
225,-77.74670758700358
226,-83.94460126500417
227,-91.08343304600476
228,-68.50066966000304
229,-90.44456294300471
230,-70.5669687330037
231,-90.93722304600487
232,-84.64864836800461
233,-83.15273719200468
234,-83.66702216199883
235,-19.938731385999745
236,-66.27720548399702
237,-85.65259336800409
238,-83.93925726500402
239,-78.31111269000303
240,-90.4611789430046
241,-76.82257048400061
242,-77.71283648400095
243,-97.14796972400563
244,-48.455517450000116
245,-79.16557558700333
246,-90.80857904600452
247,-90.35405294300472
248,-68.26862055700349
249,-69.57340773300348
250,-77.9730094839997
251,-90.07401294300507
252,-77.12056358700374
253,-63.32592995200321
254,-75.83975241100416
255,-54.924664335998386
256,-69.23148466000384
257,-76.28113141100403
258,-76.92404351400455
259,-90.31017494300522
260,-90.33595194300506
261,-90.34770794300493
262,-90.30269594300535
263,-90.69715304600504
264,-70.17900663000364
265,-89.33250787000543
266,-83.91057726500458
267,-91.0435560460046
268,-90.15925594300461
269,-90.10664394300511
270,-90.1332909430048
271,-91.02229504600473
272,-68.10185755700331
273,-74.5603192350045
274,-91.14864504600519
275,-90.32619594300468
276,-90.39137404600478
277,-91.08547804600494
278,-74.65058433800459
279,-83.42263316199933
280,-97.10853472400595
281,-85.86977336800373
282,-76.85157648399945
283,-76.83696158700332
284,-90.40329894300521
285,-63.80651895200299
286,-66.9813984839966
287,-63.13457087900315
288,-60.84543280600337
289,-67.94299455700366
290,-67.87691348399676
291,-73.64045823500419
292,-65.00759505500264
293,-66.72391248399617
294,-90.32621104600457
295,-56.8199522010018
296,-68.66825966000306
297,-83.46372716199949
298,-90.76256204600486
299,-83.06360719200529
300,-89.80156994300523
301,-84.13706526500391
302,-90.26685294300478
303,-70.13632973300355
304,-74.72094333800396
305,-91.0770060460045
306,-84.17026336800427
307,-77.8997676900035
308,-67.45453155700397
309,-82.53419208900505
310,-85.93870836800397
311,-83.46269216199835
312,-65.63332712800184
313,-90.27130294300514
314,-63.32207705500241
315,-69.59740866000357
316,-91.19769104600527
317,-89.79072494300544
318,-83.41751116199885
319,-77.069084587004
320,-68.32736266000302
321,-84.03678726500402
322,-90.95565804600483
323,-90.16928294300487
324,-90.4263949430051
325,-75.1160833380045
326,-83.68666326500443
327,-90.21285794300547
328,-75.59030333800456
329,-61.85055898200244
330,-65.49671912800295
331,-84.04225636800402
332,-75.86706130800394
333,-77.95272369000304
334,-84.56667836800443
335,-97.29237972400551
336,-67.61142948399538
337,-69.24099673300316
338,-75.5432233080046
339,-83.46141816199815
340,-97.10287472400523
341,-83.96284136800386
342,-90.34753394300515
343,-77.63930658700338
344,-90.25375094300489
345,-97.10781472400595
346,-83.77974216199982
347,-81.36924601600458
348,-78.78185948399914
349,-48.523968347001755
350,-85.31820826500461
351,-97.3060617240053
352,-83.95151426500433
353,-77.46743258700371
354,-70.63324363000356
355,-69.26756666000438
356,-83.04472719200476
357,-83.58946816199932
358,-90.98568904600506
359,-68.57676266000362
360,-90.290403943005
361,-75.55227533800462
362,-83.45848116199886
363,-81.21883701600473
364,-83.76034526500462
